timestamp,ecology,material,railroad_1line,big_market_raion,life_sq,floor,kitch_sq,healthcare_centers_raion,culture_objects_top_25_raion,build_count_block,build_count_frame,build_count_brick,build_count_monolith,build_count_foam,green_zone_km,railroad_station_avto_min,big_road1_km,university_km,office_km,prom_part_500,office_sqm_500,cafe_count_500_price_4000,trc_count_1500,mosque_count_1500,prom_part_2000,cafe_count_5000_price_high,mosque_count_5000,gdp_quart_growth,price_doc
2011-08-23,excellent,a,no,no,19.0,3.0,6.4673181524017505,1,1,83.0,0.0,67.0,4.0,0.0,0.065321162,4.679744508,2.887376585,1.852560245,0.688796317,0.0,0,1,7,0,19.25,0,1,3.3,6000000
2011-09-01,good,a,no,no,50.0,9.0,6.491026130873549,1,0,9.0,12.0,124.0,50.0,0.0,0.106124506,5.271136062,2.677824284,10.9031613,0.9342734979999999,0.57,0,0,7,0,5.73,1,0,3.3,13100000
2011-09-05,excellent,a,yes,no,77.0,4.0,6.301277933068997,4,0,48.0,0.0,643.0,16.0,0.0,0.23621405399999998,2.156283865,1.721833683,0.9916826259999999,0.077900959,4.44,293699,0,9,0,5.02,17,2,3.3,16331452
2011-09-08,poor,a,no,no,14.0,10.0,5.725199367213287,3,0,23.0,0.0,139.0,12.0,0.0,0.632444746,3.9592885630000003,2.026622672,3.168781583,0.067724564,0.0,7719,0,9,0,5.25,3,1,3.3,5500000
2011-09-09,good,a,no,no,44.0,5.0,6.928484737194852,1,0,25.0,0.0,0.0,2.0,0.0,0.16512411300000002,7.453825079,1.042290487,6.917527177,0.872231483,0.0,0,0,11,0,7.13,0,1,3.3,2000000
2011-09-10,poor,a,no,no,27.0,5.0,6.196743465714687,4,0,101.0,0.0,216.0,11.0,0.0,0.148956733,2.4282446109999998,2.438125457,1.2042204490000001,1.143674241,0.0,0,0,0,0,19.72,1,1,3.3,5300000
2011-09-13,satisfactory,a,no,no,21.0,9.0,6.968307391425063,0,0,68.0,14.0,237.0,21.0,2.0,0.191191251,2.735303613,1.1018137540000001,5.23895598,0.459233791,0.0,15565,0,1,0,0.0,0,1,3.3,2000000
2011-09-16,good,a,no,no,19.0,12.0,5.309930078821108,1,0,12.0,36.0,179.0,14.0,0.0,0.191739837,4.467634442,2.832870181,6.278428739,3.374982007,0.0,0,0,0,0,10.6,0,0,3.3,4650000
2011-09-16,satisfactory,a,no,no,19.0,11.0,5.719799685283767,0,0,55.0,0.0,28.0,12.0,0.0,0.45592583,4.894231109,0.423185959,4.860389109,0.55270309,15.12,0,0,5,0,23.24,0,0,3.3,4800000
2011-09-17,satisfactory,a,no,no,28.0,4.0,6.968307391425063,0,0,68.0,14.0,237.0,21.0,2.0,0.441057574,0.9519805459999999,1.4542059969999999,8.027416277,0.777103755,39.33,0,0,5,0,10.84,1,0,3.3,5100000
2011-09-19,poor,a,no,no,31.0,4.0,6.657825680477642,2,3,99.0,1.0,664.0,33.0,0.0,0.086052714,2.457773848,0.571993402,0.5990820379999999,0.380284484,0.0,34565,0,4,0,14.86,22,1,3.3,5200000
2011-09-19,poor,a,no,no,21.0,3.0,5.941017904333807,5,0,68.0,1.0,159.0,0.0,0.0,0.385974217,1.511784384,0.239878217,0.510377152,0.317269641,13.12,122400,0,2,0,34.86,2,0,3.3,5000000
2011-09-20,poor,a,no,no,31.0,4.0,6.759069716656147,1,0,155.0,0.0,29.0,6.0,0.0,0.125797149,3.123471553,1.187343399,2.1922705369999997,1.557434286,0.0,0,0,5,0,0.0,0,0,3.3,6300000
2011-09-22,good,a,no,no,29.0,4.0,7.254490533689647,3,0,88.0,0.0,68.0,8.0,0.0,0.811782772,4.391932335,3.234142738,2.5754226769999997,0.6924594909999999,29.79,0,0,4,0,29.88,0,0,3.3,5200000
2011-09-22,poor,a,no,no,39.0,7.0,6.312330407018484,0,0,58.0,0.0,184.0,6.0,0.0,0.371157616,6.548075834,1.267681132,6.131230659,1.261976982,15.79,0,0,1,0,13.56,0,0,3.3,5200000
2011-09-24,satisfactory,a,no,no,29.0,9.0,6.532704925767034,2,0,72.0,4.0,200.0,5.0,0.0,0.015624417,3.323690294,0.463584206,5.610651169,0.40058999,0.0,31000,0,5,0,0.55,1,1,3.3,1050000
2011-09-26,good,a,no,no,20.0,4.0,7.236519717267962,1,0,35.0,0.0,20.0,5.0,0.0,0.295890764,5.203798544,3.348045048,1.637593794,1.32001789,0.0,0,0,4,0,14.53,0,1,3.3,5000000
2011-09-26,good,a,no,no,20.0,6.0,5.839858238185448,3,0,13.0,83.0,114.0,18.0,0.0,0.564688871,1.6280233830000002,2.761216983,9.224489698,2.9159920710000002,0.28,0,0,1,0,17.75,0,0,3.3,4700000
